Category,Example (trigger words),Sensitivity (1–10)
Favorite Brands,Apple,3
Favorite Brands,Nike,3
Favorite Brands,Canon,3
Favorite Brands,Samsung,3
Favorite Brands,Sony,3
Favorite Brands,Gucci,3
Favorite Brands,Adidas,3
Favorite Brands,Coca-Cola,3
Favorite Brands,Tesla,3
Favorite Brands,Netflix,3
Favorite Brands,IKEA,3
Favorite Brands,Amazon,3
Favorite Brands,Lush,3
Favorite Brands,Starbucks,3
Favorite Brands,Under Armour,3
Pet’s Name,Simba,3
Pet’s Name,Lulu,3
Pet’s Name,Max,3
Pet’s Name,Bella,3
Pet’s Name,Tiger,3
Pet’s Name,Coco,3
Pet’s Name,Rocky,3
Pet’s Name,Milo,3
Pet’s Name,Nala,3
Pet’s Name,Shadow,3
Pet’s Name,Snowy,3
Pet’s Name,Charlie,3
Pet’s Name,Leo,3
Pet’s Name,Zuzu,3
Pet’s Name,Whiskers,3
Family Members Mentioned,Mother: Fatima,9
Family Members Mentioned,Father: Khalid,9
Family Members Mentioned,Sister: Noor,9
Family Members Mentioned,Brother: Ahmed,9
Family Members Mentioned,Cousin: Reem,9
Family Members Mentioned,Uncle: Hamed,9
Family Members Mentioned,Aunt: Laila,9
Family Members Mentioned,Grandmother: Mariam,9
Family Members Mentioned,Grandfather: Yusuf,9
Family Members Mentioned,Husband: Salim,9
Family Members Mentioned,Wife: Aisha,9
Family Members Mentioned,Daughter: Hana,9
Family Members Mentioned,Son: Omar,9
Family Members Mentioned,Nephew: Sami,9
Family Members Mentioned,Niece: Layla,9
Close Friends (Tagged Often),@sara.khalid,8
Close Friends (Tagged Often),@thefatmap,8
Close Friends (Tagged Often),@hamza.clicks,8
Close Friends (Tagged Often),@reem.films,8
Close Friends (Tagged Often),@noor.codes,8
Close Friends (Tagged Often),@huda.inspo,8
Close Friends (Tagged Often),@abdullah.vlogs,8
Close Friends (Tagged Often),@malikdesigns,8
Close Friends (Tagged Often),@zainab.recipes,8
Close Friends (Tagged Often),@ali.travels,8
Close Friends (Tagged Often),@latifa.snaps,8
Close Friends (Tagged Often),@yasmeen.music,8
Close Friends (Tagged Often),@hassanwrites,8
Close Friends (Tagged Often),@faizaphotos,8
Close Friends (Tagged Often),@omarcreates,8
Favorite Food,Mandi,4
Favorite Food,Shuwa,4
Favorite Food,Biryani,4
Favorite Food,Pasta,4
Favorite Food,Sushi,4
Favorite Food,Tacos,4
Favorite Food,Grilled Chicken,4
Favorite Food,Kebabs,4
Favorite Food,Pizza,4
Favorite Food,Machboos,4
Favorite Food,Harees,4
Favorite Food,Butter Chicken,4
Favorite Food,Salad Bowls,4
Favorite Food,Beef Steak,4
Favorite Food,Houmous,4
Favorite Travel Destination,Bali,4
Favorite Travel Destination,Istanbul,4
Favorite Travel Destination,Paris,4
Favorite Travel Destination,Maldives,4
Favorite Travel Destination,Turkey,4
Favorite Travel Destination,London,4
Favorite Travel Destination,Thailand,4
Favorite Travel Destination,Bosnia,4
Favorite Travel Destination,Austria,4
Favorite Travel Destination,Switzerland,4
Favorite Travel Destination,Tanzania,4
Favorite Travel Destination,Morocco,4
Favorite Travel Destination,Greece,4
Favorite Travel Destination,Italy,4
Favorite Travel Destination,Cappadocia,4
Recent Travel Location,Salalah,6
Recent Travel Location,Dubai,6
Recent Travel Location,Mumbai,6
Recent Travel Location,Riyadh,6
Recent Travel Location,Cairo,6
Recent Travel Location,Kuala Lumpur,6
Recent Travel Location,Paris,6
Recent Travel Location,Istanbul,6
Recent Travel Location,Bangkok,6
Recent Travel Location,Doha,6
Recent Travel Location,Tunis,6
Recent Travel Location,Amman,6
Recent Travel Location,Beirut,6
Recent Travel Location,Colombo,6
Recent Travel Location,Alexandria,6
Current Residence (Neighborhood),Al Khoudh,8
Current Residence (Neighborhood),Al Mawaleh,8
Current Residence (Neighborhood),Al Ghubrah,8
Current Residence (Neighborhood),Madina Al Sultan Qaboos,8
Current Residence (Neighborhood),Al Hail,8
Current Residence (Neighborhood),Seeb,8
Current Residence (Neighborhood),Al Amerat,8
Current Residence (Neighborhood),Bawshar,8
Current Residence (Neighborhood),Qurum,8
Current Residence (Neighborhood),Muttrah,8
Current Residence (Neighborhood),Al Khuwayr,8
Current Residence (Neighborhood),Ghala,8
Current Residence (Neighborhood),Wadi Kabir,8
Current Residence (Neighborhood),Al Ansab,8
Current Residence (Neighborhood),Ruwi,8
License Plate Number,M 25673,9
License Plate Number,K 99124,9
License Plate Number,B 88392,9
License Plate Number,Y 48112,9
License Plate Number,N 19284,9
License Plate Number,A 33442,9
License Plate Number,C 77485,9
License Plate Number,T 54312,9
License Plate Number,Z 67219,9
License Plate Number,X 12900,9
License Plate Number,V 88899,9
License Plate Number,H 23001,9
License Plate Number,J 56078,9
License Plate Number,D 45932,9
License Plate Number,L 00891,9
Car Make/Model,Toyota Land Cruiser,6
Car Make/Model,Tesla Model 3,6
Car Make/Model,BMW X5,6
Car Make/Model,Nissan Patrol,6
Car Make/Model,Honda Civic,6
Car Make/Model,Ford Explorer,6
Car Make/Model,Lexus RX,6
Car Make/Model,Chevrolet Tahoe,6
Car Make/Model,Mercedes-Benz GLE,6
Car Make/Model,Jeep Wrangler,6
Car Make/Model,Toyota Fortuner,6
Car Make/Model,Kia Sportage,6
Car Make/Model,Mazda CX-5,6
Car Make/Model,Audi Q7,6
Car Make/Model,Range Rover Evoque,6
Favorite TV Show,Friends,3
Favorite TV Show,Game of Thrones,3
Favorite TV Show,Suits,3
Favorite TV Show,Stranger Things,3
Favorite TV Show,Money Heist,3
Favorite TV Show,The Office,3
Favorite TV Show,Grey’s Anatomy,3
Favorite TV Show,Breaking Bad,3
Favorite TV Show,Modern Family,3
Favorite TV Show,The Crown,3
Favorite TV Show,Vikings,3
Favorite TV Show,Sherlock,3
Favorite TV Show,House of the Dragon,3
Favorite TV Show,Brooklyn Nine-Nine,3
Favorite TV Show,The Mandalorian,3
Favorite Music Artist,BTS,3
Favorite Music Artist,Taylor Swift,3
Favorite Music Artist,The Weeknd,3
Favorite Music Artist,Adele,3
Favorite Music Artist,Ed Sheeran,3
Favorite Music Artist,Amr Diab,3
Favorite Music Artist,Balqees,3
Favorite Music Artist,Maroon 5,3
Favorite Music Artist,Coldplay,3
Favorite Music Artist,Elyanna,3
Favorite Music Artist,Billie Eilish,3
Favorite Music Artist,Abdullah Al Ruwaished,3
Favorite Music Artist,Ali Bahar,3
Favorite Music Artist,Cairokee,3
Favorite Music Artist,Shakira,3
Sports Team Supported,FC Barcelona,3
Sports Team Supported,Real Madrid,3
Sports Team Supported,Manchester United,3
Sports Team Supported,Al-Nassr FC,3
Sports Team Supported,Al-Hilal,3
Sports Team Supported,Al-Seeb Club,3
Sports Team Supported,Paris Saint-Germain,3
Sports Team Supported,Arsenal FC,3
Sports Team Supported,Juventus,3
Sports Team Supported,Al Ahly SC,3
Sports Team Supported,Bayern Munich,3
Sports Team Supported,Liverpool FC,3
Sports Team Supported,Al Ittihad,3
Sports Team Supported,Inter Milan,3
Sports Team Supported,AC Milan,3
Political Views,Moderate,6
Political Views,Conservative,6
Political Views,Liberal,6
Political Views,Apolitical,6
Political Views,Neutral,6
Political Views,Left-leaning,6
Political Views,Right-leaning,6
Political Views,Nationalist,6
Political Views,Populist,6
Political Views,Independent,6
Political Views,Pro-reform,6
Political Views,Traditionalist,6
Political Views,Civic-minded,6
Political Views,Green,6
Political Views,Islamist,6
